,Regulator,Target,Perturbation,Effect,Stage,Tissue.Reg,Tissue.Target,Additional Perturbation,Year,Reference
BMP BMP4 EPI EPI positive target,Bmp4,Isl1,+,+,E10,Epi,Epi,,2003,"Mitsiadis TA, Angeli I, James C, Lendahl U, Sharpe PT. Role of Islet1 in the patterning of murine dentition. Development 2003 vol. 130 (18) pp. 4451-60"
BMP BMP4 MES EPI positive target,Bmp4,Cdkn1a,+,+,E15,Mes,Epi,,2004,"Wang XP, Suomalainen M, Jorgez CJ, Matzuk MM, Werner S, Thesleff I. Follistatin regulates enamel patterning in mouse incisors by asymmetrically inhibiting BMP signaling and ameloblast differentiation. Developmental Cell 2004 vol. 7 (5) pp. 719-30"
BMP BMP4 MES EPI positive target,Bmp4,Ambn,+,+,E15,Mes,Epi,,2004,"Wang XP, Suomalainen M, Jorgez CJ, Matzuk MM, Werner S, Thesleff I. Follistatin regulates enamel patterning in mouse incisors by asymmetrically inhibiting BMP signaling and ameloblast differentiation. Developmental Cell 2004 vol. 7 (5) pp. 719-30"
BMP BMP4 MES MES positive target,Bmp4,Id1,+,+,E13,Mes,Mes,,2005,"Rice R, Thesleff I, Rice DP. Regulation of Twist, Snail, and Id1 is conserved between the developing murine palate and tooth. Developmental dynamics 2005 vol. 234 (1) pp. 28-35"
BMP BMP4 MES MES positive target,Bmp4,Msx1,+,+,E13,Mes,Mes,,2005,"Rice R, Thesleff I, Rice DP. Regulation of Twist, Snail, and Id1 is conserved between the developing murine palate and tooth. Developmental dynamics 2005 vol. 234 (1) pp. 28-35"
BMP BMP4 MES MES positive target,Bmp4,Msx2,+,+,E13,Mes,Mes,,2005,"Rice R, Thesleff I, Rice DP. Regulation of Twist, Snail, and Id1 is conserved between the developing murine palate and tooth. Developmental dynamics 2005 vol. 234 (1) pp. 28-35"
BMP BMP4 MES EPI positive target,Bmp4,Sostdc1,+,+,E13,Mes,Epi,,2005,"Kassai Y, Munne P, Hotta Y, Penttilä E, Kavanagh K, Ohbayashi N, Takada S, Thesleff I, Jernvall J, Itoh N. Regulation of mammalian tooth cusp patterning by ectodin. Science 2005 vol. 309 (5743) pp. 2067-70"
BMP BMP4 MES EPI positive target,Bmp4,Cdkn1a,+,+,E13,Mes,Epi,,2005,"Kassai Y, Munne P, Hotta Y, Penttilä E, Kavanagh K, Ohbayashi N, Takada S, Thesleff I, Jernvall J, Itoh N. Regulation of mammalian tooth cusp patterning by ectodin. Science 2005 vol. 309 (5743) pp. 2067-70"
BMP BMP4 EPI MES positive target,Bmp4,Msx2,+,+,E11,Epi,Mes,,2005,"Liu W, Selever J, Murali D, Sun X, Brugger SM, Ma L, Schwartz RJ, Maxson R, Furuta Y, Martin JF. Threshold-specific requirements for Bmp4 in mandibular development. Developmental biology 2005 vol. 283 (2) pp. 282-93"
BMP BMP4 EPI MES negative target,Bmp4,Pax9,+,-,E10,Epi,Mes,,1997,"Neubüser A, Peters H, Balling R, Martin GR. Antagonistic interactions between FGF and BMP signaling pathways: a mechanism for positioning the sites of tooth formation. Cell 1997 vol. 90 (2) pp. 247-55"
BMP BMP4 EPI MES negative target,Bmp4,Barx1,+,-,E10,Epi,Mes,,1998,"Tucker AS, Matthews KL, Sharpe PT. Transformation of tooth type induced by inhibition of BMP signaling. Science 1998 vol. 282 (5391) pp. 1136-8"
BMP BMP4 MES EPI negative target,Bmp4,Bmp2,+,-,E14,Mes,Epi,,2000,"Zhao X, Zhang Z, Song Y, Zhang X, Zhang Y, Hu Y, Fromm SH, Chen Y. Transgenically ectopic expression of Bmp4 to the Msx1 mutant dental mesenchyme restores downstream gene expression but represses Shh and Bmp2 in the enamel knot of wild type tooth germ. Mechanisms of development 2000 vol. 99 (1-2) pp. 29-38"
BMP BMP4 EPI MES negative target,Bmp4,Dlx2,+,-,E10,Epi,Mes,,2000,"Thomas BL, Liu JK, Rubenstein JL, Sharpe PT. Independent regulation of Dlx2 expression in the epithelium and mesenchyme of the first branchial arch. Development 2000 vol. 127 (2) pp. 217-24"
BMP BMP4 MES EPI negative target,Bmp4 AND Fgf10,Lfng,+,-,E13,Mes,Epi,,2002,"Mustonen T, Tümmers M, Mikami T, Itoh N, Zhang N, Gridley T, Thesleff I. Lunatic fringe, FGF, and BMP regulate the Notch pathway during epithelial morphogenesis of teeth. Developmental biology 2002 vol. 248 (2) pp. 281-93"
BMP BMP4 MES EPI negative target,Bmp4 AND Fgf4,Lfng,+,-,E13,Mes,Epi,,2002,"Mustonen T, Tümmers M, Mikami T, Itoh N, Zhang N, Gridley T, Thesleff I. Lunatic fringe, FGF, and BMP regulate the Notch pathway during epithelial morphogenesis of teeth. Developmental biology 2002 vol. 248 (2) pp. 281-93"
BMP BMP4 MES MES negative target,Bmp4,Fgf3,+,-,E16,Mes,Mes,,2007,"Wang XP, Suomalainen M, Felszeghy S, Zelarayan LC, Alonso MT, Plikus MV, Maas RL, Chuong CM, Schimmang T, Thesleff I. An integrated gene regulatory network controls stem cell proliferation in teeth. PLoS biology 2007 vol. 5 (6) pp. e159"
BMP BMP4 EPI MES negative target,Bmp4,Pitx1,+,-,E10,Epi,Mes,,2008,"Mitsiadis TA, Drouin J. Deletion of the Pitx1 genomic locus affects mandibular tooth morphogenesis and expression of the Barx1 and Tbx1 genes. Developmental biology 2008 vol. 313 (2) pp. 887-96"
BMP BMP4 MES EPI negative target,Bmp4,Pitx1,+,-,E13,Mes,Epi,,2008,"Mitsiadis TA, Drouin J. Deletion of the Pitx1 genomic locus affects mandibular tooth morphogenesis and expression of the Barx1 and Tbx1 genes. Developmental biology 2008 vol. 313 (2) pp. 887-96"
BMP BMP4 MES EPI negative target,Bmp4,Pitx1,+,-,E14,Mes,Epi,,2008,"Mitsiadis TA, Drouin J. Deletion of the Pitx1 genomic locus affects mandibular tooth morphogenesis and expression of the Barx1 and Tbx1 genes. Developmental biology 2008 vol. 313 (2) pp. 887-96"
BMP BMP4 MES EPI negative target,Bmp4,Tbx1,+,-,E12,Mes,Epi,,2008,"Mitsiadis TA, Tucker AS, De Bari C, Cobourne MT, Rice DP. A regulatory relationship between Tbx1 and FGF signaling during tooth morphogenesis and ameloblast lineage determination. Developmental biology 2008 vol. 320 (1) pp. 39-48"
BMP BMP4 MES EPI negative target,Bmp4,Jag2,+,-,E12,Mes,Epi,,2010,"Mitsiadis TA, Graf D, Luder H, Gridley T, Bluteau G. BMPs and FGFs target Notch signalling via jagged 2 to regulate tooth morphogenesis and cytodifferentiation. Development 2010 vol. 137 (18) pp. 3025-35"
BMP BMP4 EPI MES NOT TARGET,Bmp4,Sdc1,+,o,E11,Epi,Mes,,1993,"Vainio S, Karavanova I, Jowett A, Thesleff I. Identification of BMP-4 as a signal mediating secondary induction between epithelial and mesenchymal tissues during early tooth development. Cell 1993 vol. 75 (1) pp. 45-58"
BMP BMP4 EPI MES NOT TARGET,Bmp4,Tnc,+,o,E11,Epi,Mes,,1993,"Vainio S, Karavanova I, Jowett A, Thesleff I. Identification of BMP-4 as a signal mediating secondary induction between epithelial and mesenchymal tissues during early tooth development. Cell 1993 vol. 75 (1) pp. 45-58"
BMP BMP4 EPI MES NOT TARGET,Bmp4,Lhx6,+,o,E11,Epi,Mes,,1998,"Grigoriou M, Tucker AS, Sharpe PT, Pachnis V. Expression and regulation of Lhx6 and Lhx7, a novel subfamily of LIM homeodomain encoding genes, suggests a role in mammalian head development. 1998 vol. 125 (11) pp. 2063-74"
BMP BMP4 EPI MES NOT TARGET,Bmp4,Lhx8,+,o,E11,Epi,Mes,,1998,"Grigoriou M, Tucker AS, Sharpe PT, Pachnis V. Expression and regulation of Lhx6 and Lhx7, a novel subfamily of LIM homeodomain encoding genes, suggests a role in mammalian head development. 1998 vol. 125 (11) pp. 2063-74"
BMP BMP4 EPI MES NOT TARGET,Bmp4,Ptch1,+,o,E10,Epi,Mes,,1998,"Hardcastle Z, Mo R, Hui CC, Sharpe PT. The Shh signalling pathway in tooth development: defects in Gli2 and Gli3 mutants. Development 1998 vol. 125 (15) pp. 2803-11"
BMP BMP4 EPI MES NOT TARGET,Bmp4,Gli1,+,o,E10,Epi,Mes,,1998,"Hardcastle Z, Mo R, Hui CC, Sharpe PT. The Shh signalling pathway in tooth development: defects in Gli2 and Gli3 mutants. Development 1998 vol. 125 (15) pp. 2803-11"
BMP BMP4 EPI MES NOT TARGET,Bmp4,Gli2,+,o,E10,Epi,Mes,,1998,"Hardcastle Z, Mo R, Hui CC, Sharpe PT. The Shh signalling pathway in tooth development: defects in Gli2 and Gli3 mutants. Development 1998 vol. 125 (15) pp. 2803-11"
BMP BMP4 EPI MES NOT TARGET,Bmp4,Gli3,+,o,E10,Epi,Mes,,1998,"Hardcastle Z, Mo R, Hui CC, Sharpe PT. The Shh signalling pathway in tooth development: defects in Gli2 and Gli3 mutants. Development 1998 vol. 125 (15) pp. 2803-11"
BMP BMP4 EPI MES NOT TARGET,Bmp4,Inhba,+,o,E11,Epi,Mes,,1998,"Ferguson CA, Tucker AS, Christensen L, Lau AL, Matzuk MM, Sharpe PT. Activin is an essential early mesenchymal signal in tooth development that is required for patterning of the murine dentition. Genes & Development 1998 vol. 12 (16) pp. 2636-49."
BMP BMP4 EPI MES NOT TARGET,Bmp4,Fgf3,+,o,E11,Epi,Mes,,1998,"Bei M, Maas R. FGFs and BMP4 induce both Msx1-independent and Msx1-dependent signaling pathways in early tooth development. Development 1998 vol. 125 (21) pp. 4325-33"
BMP BMP4 EPI MES NOT TARGET,Bmp4,Dlx1,+,o,E11,Epi,Mes,,1998,"Bei M, Maas R. FGFs and BMP4 induce both Msx1-independent and Msx1-dependent signaling pathways in early tooth development. Development 1998 vol. 125 (21) pp. 4325-33"
BMP BMP4 EPI MES NOT TARGET,Bmp4,Lhx6,+,o,E10,Epi,Mes,,1998,"Grigoriou M, Tucker AS, Sharpe PT, Pachnis V. Expression and regulation of Lhx6 and Lhx7, a novel subfamily of LIM homeodomain encoding genes, suggests a role in mammalian head development. 1998 vol. 125 (11) pp. 2063-74"
BMP BMP4 EPI MES NOT TARGET,Bmp4,Lhx8,+,o,E10,Epi,Mes,,1998,"Grigoriou M, Tucker AS, Sharpe PT, Pachnis V. Expression and regulation of Lhx6 and Lhx7, a novel subfamily of LIM homeodomain encoding genes, suggests a role in mammalian head development. 1998 vol. 125 (11) pp. 2063-74"
BMP BMP4 EPI MES NOT TARGET,Bmp4,Gsc,+,o,E10,Epi,Mes,,1999,"Tucker AS, Yamada G, Grigoriou M, Pachnis V, Sharpe PT. Fgf-8 determines rostral-caudal polarity in the first branchial arch. Development 1999 vol. 126 (1) pp. 51-61"
BMP BMP4 EPI MES NOT TARGET,Bmp4,Runx2,+,o,E11,Epi,Mes,,1999,"D'Souza RN, Aberg T, Gaikwad J, Cavender A, Owen M, Karsenty G, Thesleff I. Cbfa1 is required for epithelial-mesenchymal interactions regulating tooth development in mice. Development 1999 vol. 126 (13) pp. 2911-20"
BMP BMP4 MES MES NOT TARGET,Bmp4,Runx2,+,o,E14,Mes,Mes,,1999,"D'Souza RN, Aberg T, Gaikwad J, Cavender A, Owen M, Karsenty G, Thesleff I. Cbfa1 is required for epithelial-mesenchymal interactions regulating tooth development in mice. Development 1999 vol. 126 (13) pp. 2911-20"
BMP BMP4 MES EPI NOT TARGET,Bmp4,Fgf4,+,o,E13,Mes,Epi,,1998,"Jernvall J, Aberg T, Kettunen P, Keränen S, Thesleff I. The life history of an embryonic signaling center: BMP-4 induces p21 and is associated with apoptosis in the mouse tooth enamel knot. Development 1998 vol. 125 (2) pp. 161-9"
BMP BMP4 MES EPI NOT TARGET,Bmp4,Fgf4,+,o,E13,Mes,Epi,,2000,"Zhao X, Zhang Z, Song Y, Zhang X, Zhang Y, Hu Y, Fromm SH, Chen Y. Transgenically ectopic expression of Bmp4 to the Msx1 mutant dental mesenchyme restores downstream gene expression but represses Shh and Bmp2 in the enamel knot of wild type tooth germ. Mechanisms of development 2000 vol. 99 (1-2) pp. 29-38"
BMP BMP4 MES EPI NOT TARGET,Bmp4,Bmp7,+,o,E13,Mes,Epi,,2000,"Zhao X, Zhang Z, Song Y, Zhang X, Zhang Y, Hu Y, Fromm SH, Chen Y. Transgenically ectopic expression of Bmp4 to the Msx1 mutant dental mesenchyme restores downstream gene expression but represses Shh and Bmp2 in the enamel knot of wild type tooth germ. Mechanisms of development 2000 vol. 99 (1-2) pp. 29-38"
BMP BMP4 MES EPI NOT TARGET,Bmp4,Eda,+,o,E12,Mes,Epi,,2001,"Laurikkala J, Mikkola M, Mustonen T, Aberg T, Koppinen P, Pispa J, Nieminen P, Galceran J, Grosschedl R, Thesleff I. TNF signaling via the ligand-receptor pair ectodysplasin and edar controls the function of epithelial signaling centers and is regulated by Wnt and activin during tooth organogenesis. Developmental biology 2001 vol. 229 (2) pp. 443-55"
BMP BMP4 MES EPI NOT TARGET,Bmp4,Edar,+,o,E12,Mes,Epi,,2001,"Laurikkala J, Mikkola M, Mustonen T, Aberg T, Koppinen P, Pispa J, Nieminen P, Galceran J, Grosschedl R, Thesleff I. TNF signaling via the ligand-receptor pair ectodysplasin and edar controls the function of epithelial signaling centers and is regulated by Wnt and activin during tooth organogenesis. Developmental biology 2001 vol. 229 (2) pp. 443-55"
BMP BMP4 EPI MES NOT TARGET,Bmp4,Frzb,+,o,E10,Epi,Mes,,2000,"Sarkar L, Sharpe PT. Inhibition of Wnt signaling by exogenous Mfrzb1 protein affects molar tooth size. Journal of dental research 2000 vol. 79 (4) pp. 920-5"
BMP BMP4 MES EPI NOT TARGET,Bmp4,Lfng,+,o,E13,Mes,Epi,,2002,"Mustonen T, Tümmers M, Mikami T, Itoh N, Zhang N, Gridley T, Thesleff I. Lunatic fringe, FGF, and BMP regulate the Notch pathway during epithelial morphogenesis of teeth. Developmental biology 2002 vol. 248 (2) pp. 281-93"
BMP BMP4 MES EPI NOT TARGET,Bmp4,Lfng,+,o,E12,Mes,Epi,,2002,"Mustonen T, Tümmers M, Mikami T, Itoh N, Zhang N, Gridley T, Thesleff I. Lunatic fringe, FGF, and BMP regulate the Notch pathway during epithelial morphogenesis of teeth. Developmental biology 2002 vol. 248 (2) pp. 281-93"
BMP BMP4 MES MES NOT TARGET,Bmp4,Runx2,+,o,E13,Mes,Mes,,2003,"Zhang Z, Song Y, Zhang X, Tang J, Chen J, Chen Y. Msx1/Bmp4 genetic pathway regulates mammalian alveolar bone formation via induction of Dlx5 and Cbfa1. Mechanisms of development 2003 vol. 120 (12) pp. 1469-79"
BMP BMP4 MES EPI NOT TARGET,Bmp4,Fst,+,o,E15,Mes,Epi,,2004,"Wang XP, Suomalainen M, Jorgez CJ, Matzuk MM, Werner S, Thesleff I. Follistatin regulates enamel patterning in mouse incisors by asymmetrically inhibiting BMP signaling and ameloblast differentiation. Developmental Cell 2004 vol. 7 (5) pp. 719-30"
BMP BMP4 MES MES NOT TARGET,Bmp4,Twist1,+,o,E13,Mes,Mes,,2005,"Rice R, Thesleff I, Rice DP. Regulation of Twist, Snail, and Id1 is conserved between the developing murine palate and tooth. Developmental dynamics 2005 vol. 234 (1) pp. 28-35"
BMP BMP4 MES MES NOT TARGET,Bmp4,Snai1,+,o,E13,Mes,Mes,,2005,"Rice R, Thesleff I, Rice DP. Regulation of Twist, Snail, and Id1 is conserved between the developing murine palate and tooth. Developmental dynamics 2005 vol. 234 (1) pp. 28-35"
BMP BMP4 MES MES NOT TARGET,Bmp4,Dkk1,+,o,E14,Mes,Mes,,2006,"James MJ, Järvinen E, Wang XP, Thesleff I. Different roles of Runx2 during early neural crest-derived bone and tooth development. Journal of bone and mineral research 2006 vol. 21 (7) pp. 1034-44"
BMP BMP4 MES MES NOT TARGET,Bmp4,Dusp6,+,o,E14,Mes,Mes,,2006,"James MJ, Järvinen E, Wang XP, Thesleff I. Different roles of Runx2 during early neural crest-derived bone and tooth development. Journal of bone and mineral research 2006 vol. 21 (7) pp. 1034-44"
BMP BMP4 MES MES NOT TARGET,Bmp4,Enpp1,+,o,E14,Mes,Mes,,2006,"James MJ, Järvinen E, Wang XP, Thesleff I. Different roles of Runx2 during early neural crest-derived bone and tooth development. Journal of bone and mineral research 2006 vol. 21 (7) pp. 1034-44"
BMP BMP4 MES MES NOT TARGET,Bmp4,Igfbp3,+,o,E14,Mes,Mes,,2006,"James MJ, Järvinen E, Wang XP, Thesleff I. Different roles of Runx2 during early neural crest-derived bone and tooth development. Journal of bone and mineral research 2006 vol. 21 (7) pp. 1034-44"
BMP BMP4 EPI MES NOT TARGET,Bmp4,Sema3a,+,o,E10,Epi,Mes,,2007,"Kettunen P, Spencer-Dene B, Furmanek T, Kvinnsland IH, Dickson C, Thesleff I, Luukko K. Fgfr2b mediated epithelial-mesenchymal interactions coordinate tooth morphogenesis and dental trigeminal axon patterning. Mechanisms of development 2007 vol. 124 (11-12) pp. 868-83"
BMP BMP4 MES MES NOT TARGET,Bmp4,Sema3a,+,o,E12,Mes,Mes,,2007,"Kettunen P, Spencer-Dene B, Furmanek T, Kvinnsland IH, Dickson C, Thesleff I, Luukko K. Fgfr2b mediated epithelial-mesenchymal interactions coordinate tooth morphogenesis and dental trigeminal axon patterning. Mechanisms of development 2007 vol. 124 (11-12) pp. 868-83"
BMP BMP4 MES MES NOT TARGET,Bmp4,Fgf10,+,o,E16,Mes,Mes,,2007,"Wang XP, Suomalainen M, Felszeghy S, Zelarayan LC, Alonso MT, Plikus MV, Maas RL, Chuong CM, Schimmang T, Thesleff I. An integrated gene regulatory network controls stem cell proliferation in teeth. PLoS biology 2007 vol. 5 (6) pp. e159"
BMP BMP4 EPI EPI positive target,Bmp4,Isl1,-,-,E10,Epi,Epi,,2005,"Liu W, Selever J, Murali D, Sun X, Brugger SM, Ma L, Schwartz RJ, Maxson R, Furuta Y, Martin JF. Threshold-specific requirements for Bmp4 in mandibular development. Developmental biology 2005 vol. 283 (2) pp. 282-93"
BMP BMP4 EPI EPI positive target,Bmp4,Tlx1,-,-,E10,Epi,Epi,,2005,"Liu W, Selever J, Murali D, Sun X, Brugger SM, Ma L, Schwartz RJ, Maxson R, Furuta Y, Martin JF. Threshold-specific requirements for Bmp4 in mandibular development. Developmental biology 2005 vol. 283 (2) pp. 282-93"
BMP BMP4 EPI EPI positive target,Bmp4,Dlx2,-,-,E10,Epi,Epi,,2005,"Liu W, Selever J, Murali D, Sun X, Brugger SM, Ma L, Schwartz RJ, Maxson R, Furuta Y, Martin JF. Threshold-specific requirements for Bmp4 in mandibular development. Developmental biology 2005 vol. 283 (2) pp. 282-93"
BMP BMP4 EPI MES positive target,Bmp4,Alx4,-,-,E10,Epi,Mes,,2005,"Liu W, Selever J, Murali D, Sun X, Brugger SM, Ma L, Schwartz RJ, Maxson R, Furuta Y, Martin JF. Threshold-specific requirements for Bmp4 in mandibular development. Developmental biology 2005 vol. 283 (2) pp. 282-93"
BMP BMP4 MES MES positive target,Bmp4,Bmp4,-,-,E12,Mes,Mes,,2005,"Liu W, Selever J, Murali D, Sun X, Brugger SM, Ma L, Schwartz RJ, Maxson R, Furuta Y, Martin JF. Threshold-specific requirements for Bmp4 in mandibular development. Developmental biology 2005 vol. 283 (2) pp. 282-93"
BMP BMP4 EPI EPI positive target,Bmp4,Fgf8,-,-,E10,Epi,Epi,,2005,"Liu W, Selever J, Murali D, Sun X, Brugger SM, Ma L, Schwartz RJ, Maxson R, Furuta Y, Martin JF. Threshold-specific requirements for Bmp4 in mandibular development. Developmental biology 2005 vol. 283 (2) pp. 282-93"
BMP BMP4 EPI MES positive target,Bmp4,Hand1,-,-,E10,Epi,Mes,,2004,"Liu W, Selever J, Wang D, Lu MF, Moses KA, Schwartz RJ, Martin JF. Bmp4 signaling is required for outflow-tract septation and branchial-arch artery remodeling. PNAS 2004 vol. 101 (13) pp. 4489-94"
BMP BMP4 EPI MES positive target,Bmp4,Hand2,-,-,E10,Epi,Mes,,2004,"Liu W, Selever J, Wang D, Lu MF, Moses KA, Schwartz RJ, Martin JF. Bmp4 signaling is required for outflow-tract septation and branchial-arch artery remodeling. PNAS 2004 vol. 101 (13) pp. 4489-94"
BMP BMP4 MES EPI positive target,Bmp4,Shh,-,-,E11,Mes,Epi,,2010,"Fujimori S, Novak H, Weissenböck M, Jussila M, Gonçalves A, Zeller R, Galloway J, Thesleff I, Hartmann C. Wnt/?-catenin signaling in the dental mesenchyme regulates incisor development by regulating Bmp4. Developmental biology 2010 vol. 348 (1) pp. 97-106"
BMP BMP4 MES EPI positive target,Bmp4,Shh,-,-,E12,Mes,Epi,,2010,"Fujimori S, Novak H, Weissenböck M, Jussila M, Gonçalves A, Zeller R, Galloway J, Thesleff I, Hartmann C. Wnt/?-catenin signaling in the dental mesenchyme regulates incisor development by regulating Bmp4. Developmental biology 2010 vol. 348 (1) pp. 97-106"
BMP BMP4 MES EPI positive target,Bmp4,Shh,-,-,E14,Mes,Epi,,2010,"Fujimori S, Novak H, Weissenböck M, Jussila M, Gonçalves A, Zeller R, Galloway J, Thesleff I, Hartmann C. Wnt/?-catenin signaling in the dental mesenchyme regulates incisor development by regulating Bmp4. Developmental biology 2010 vol. 348 (1) pp. 97-106"
BMP BMP4 EPI MES negative target,Bmp4,Dlx2,-,+,E10,Epi,Mes,,2005,"Liu W, Selever J, Murali D, Sun X, Brugger SM, Ma L, Schwartz RJ, Maxson R, Furuta Y, Martin JF. Threshold-specific requirements for Bmp4 in mandibular development. Developmental biology 2005 vol. 283 (2) pp. 282-93"
BMP BMP4 EPI EPI NOT TARGET,Bmp4,Bmp7,-,o,E10,Epi,Epi,,2005,"Liu W, Selever J, Murali D, Sun X, Brugger SM, Ma L, Schwartz RJ, Maxson R, Furuta Y, Martin JF. Threshold-specific requirements for Bmp4 in mandibular development. Developmental biology 2005 vol. 283 (2) pp. 282-93"
BMP BMP4 EPI EPI NOT TARGET,Bmp4,Pitx2,-,o,E10,Epi,Epi,,2005,"Liu W, Selever J, Murali D, Sun X, Brugger SM, Ma L, Schwartz RJ, Maxson R, Furuta Y, Martin JF. Threshold-specific requirements for Bmp4 in mandibular development. Developmental biology 2005 vol. 283 (2) pp. 282-93"
BMP BMP4 EPI MES NOT TARGET,Bmp4,Tcfap2a,-,o,E10,Epi,Mes,,2004,"Liu W, Selever J, Wang D, Lu MF, Moses KA, Schwartz RJ, Martin JF. Bmp4 signaling is required for outflow-tract septation and branchial-arch artery remodeling. PNAS 2004 vol. 101 (13) pp. 4489-94"
